,Unnamed: 0,N,P,K,temperature,humidity,ph,rainfall,label
0,0,90,42,43,48.82574085660873,82.00274423,6.502985292,272.1239123092527,rice
1,1,85,58,41,41.0031550369805,80.31964408,7.038096361,232.49945130556353,rice
2,2,60,55,44,42.35269055143395,82.3207629,7.840207144,318.2455585364055,rice
3,3,74,35,40,43.12024620769489,80.15836264,6.980400905,430.4546163249027,rice
4,4,78,42,42,43.44090179831169,81.60487287,7.628472891,452.93771615445576,rice
5,5,69,37,42,48.4223894234126,83.37011772,7.073453503,333.7112119308144,rice
6,6,69,55,38,50.590433157149846,82.63941394,5.70080568,300.99806810298736,rice
7,7,94,53,40,33.8880814304786,82.89408619,5.718627178,321.2752770543829,rice
8,8,89,54,38,38.541408839388005,83.5352163,6.685346424,377.9863231497143,rice
9,9,68,58,38,53.91727906257312,83.03322691,6.336253525,324.0031618667375,rice
10,10,91,53,40,44.62001592173762,81.41753846,5.386167788,481.0083556132762,rice
11,11,90,46,42,37.6357116854173,81.45061596,7.50283396,257.17806205484675,rice
12,12,78,58,44,52.921886789985706,80.88684822,5.108681786,494.5679553450609,rice
13,13,93,56,36,58.22204997732969,82.05687182,6.98435366,283.889873712905,rice
14,14,94,50,37,58.53006591125718,80.66385045,6.94801983,384.9096177944619,rice
15,15,60,48,39,58.48602030132484,80.30025587,7.042299069,291.19261314274144,rice
16,16,85,38,41,45.54523579199808,82.7883708,6.249050656,493.10413796375275,rice
17,17,91,35,39,49.74402798125274,80.41817957,6.970859754,293.62294682402694,rice
18,18,77,38,36,45.55632589912646,80.1923008,5.953933276,356.62263585554547,rice
19,19,88,35,40,52.106134357972195,83.58760316,5.85393208,378.608398110743,rice
20,20,89,45,36,53.11950352466444,80.47476396,6.442475375,228.55865916392628,rice
21,21,76,40,43,42.67104329958707,83.11713476,5.070175667,242.55156240819417,rice
22,22,67,59,41,45.04211908383451,80.97384195,6.012632591,362.8574846889272,rice
23,23,83,41,43,47.61522255095363,82.67839517,6.254028451,384.5483579749853,rice
24,24,98,47,37,56.92654577710468,81.33265073,7.375482851,335.4402360631449,rice
25,25,66,53,41,55.00264352816816,80.52389148,7.778915154,353.80708398094765,rice
26,26,97,59,43,55.021357493555826,84.04403589,6.286500176,418.53292075258713,rice
27,27,97,50,41,49.999747116096465,80.54498576,7.070959995,394.64482691959745,rice
28,28,60,49,44,51.22567008417418,84.49774397,6.244841491,418.69637436041086,rice
29,29,84,51,35,45.389503991429834,80.64416466,6.043304899,301.7715189420452,rice
30,30,73,57,41,47.61680496171291,84.94375962,5.824709117,311.5170508252831,rice
31,31,92,35,40,50.30228894235154,80.33127223,6.357389366,349.7534092733833,rice
32,32,85,37,39,54.55271275185924,82.73685569,6.364134968,399.68308642972147,rice
33,33,98,53,38,42.554095092539804,81.63895217,5.01450727,353.018724647101,rice
34,34,88,54,44,49.71494160957121,83.88266234,6.149410611,244.71789096697105,rice
35,35,95,55,42,58.33501884685148,82.1480873,5.950660556,325.73401518305496,rice
36,36,99,57,35,55.29874179423726,81.17734011,5.960370061,338.8899991286543,rice
37,37,95,39,36,47.49762801519368,83.15250801,5.561398642,430.8774889955869,rice
38,38,60,43,44,42.43575416623294,82.95221726,7.416245107,482.5936585786473,rice
39,39,63,44,41,43.707784644064084,83.7287574,5.583370042,318.25822787493985,rice
40,40,62,42,36,51.70469781848972,82.06719137,6.430010215,343.66046363866997,rice
41,41,64,45,43,58.98171514700468,83.52842314,5.534878156,314.7168415935764,rice
42,42,83,60,36,48.03759457140521,80.14509262,6.903985986,253.10209672073017,rice
43,43,82,40,40,47.69635209777837,84.81360127,6.271478838,394.4446321210786,rice
44,44,85,52,45,48.44422505739266,82.36698992,7.224285503,351.75101944960323,rice
45,45,91,35,38,50.94000482569905,80.52586088,6.13428721,329.58454683746675,rice
46,46,76,49,42,55.03269824009174,84.47963372,5.206373153,402.40995125890197,rice
47,47,74,39,38,41.75695595353311,84.59201843,7.782051313,302.22022558243293,rice
48,48,79,43,39,42.00037363227696,80.70960551,7.062779015,342.76485075191,rice
49,49,88,55,45,56.785322816448726,80.41363018,7.730367824,307.3084658664163,rice
50,50,60,36,43,43.75058747814733,83.06310136,5.286203711,307.61820116912213,rice
51,51,76,60,39,42.39536215128527,80.3477562,6.766240045,349.20909725419506,rice
52,52,93,56,42,54.81422714086531,82.22572988,7.382762603,182.90883521680016,rice
53,53,65,60,43,36.93986317184456,81.89918197,5.658169482,387.71916576711055,rice
54,54,95,52,36,58.09055462119031,83.83625819,5.543360238,369.4593404332282,rice
55,55,75,38,39,54.94163203231987,84.79352417,6.215109715,424.0047079332361,rice
56,56,74,54,38,55.583904599509424,83.47021081,7.120272972,334.0188581205497,rice
57,57,91,36,45,44.28910912022924,82.45432595,5.950647577,403.0394730525576,rice
58,58,71,46,40,42.87651044981247,82.1235421,7.236705436,358.85317567185155,rice
59,59,99,55,35,49.93803770675012,80.2389895,6.501697816,315.9521722574884,rice
60,60,72,40,38,44.63767201424689,82.20802629,7.592490617,386.62033102870134,rice
61,61,83,58,45,60.91242881993795,83.51827127,5.875345751,266.56096642805466,rice
62,62,93,58,38,46.947068121069165,83.77345559,6.932400225,462.9241310724665,rice
63,63,70,36,42,45.885797877939765,80.72886384,6.946209881,244.43681915191183,rice
64,64,76,47,42,47.878259377971965,83.29114712,5.739175027,405.7353327631298,rice
65,65,99,41,36,56.35366850414961,82.74835604,6.738652179,259.92524277960666,rice
66,66,99,54,37,40.89523635886804,80.33502926,5.594819626,309.08216431220876,rice
67,67,86,59,35,54.406293176172156,82.11124033,6.946636369,310.06835548562765,rice
68,68,69,46,41,46.16452074433033,80.28597873,5.012139669,519.2292740158405,rice
69,69,91,56,37,41.36299708644721,80.56887849,6.363472208,273.1540966829731,rice
70,70,61,52,41,46.84869945192806,83.891805,6.880431223,276.10434498649875,rice
71,71,67,45,38,44.39645840627743,82.1706881,7.300410836,322.24820517587705,rice
72,72,79,42,37,66.34023625279974,82.84022551,6.587918708,359.2653971061545,rice
73,73,78,43,42,44.750495347630036,83.00320459,7.283736617,347.2396930951468,rice
74,74,75,54,36,51.69874544129581,84.56919326,7.023936392,441.8205595548743,rice
75,75,97,36,45,41.53487336962287,81.85872947,6.939083505,550.8857637010265,rice
76,76,67,47,44,49.041448711197646,81.78596776,7.868474653,477.2645965189048,rice
77,77,73,35,38,55.267897326982734,81.97927117,5.005306977,210.90277659584513,rice
78,78,77,36,37,57.3461069527861,81.46033732,6.136131869,358.33194836852226,rice
79,79,81,41,38,36.284018948540805,83.72874389,7.524080076,218.50066740261605,rice
80,80,68,57,43,49.65643631448515,80.37979919,5.706943251,185.16116129720848,rice
81,81,72,45,35,56.44077172651378,82.94682591,5.758506323,312.83045603549976,rice
82,82,61,53,43,52.14884293943314,81.05635517,6.349606327,247.6213071902457,rice
83,83,67,43,39,52.89810207015198,84.96907151,5.999969026,242.55989658661056,rice
84,84,67,58,39,48.67043131685236,80.54372813,5.453592032,213.33223503157336,rice
85,85,66,60,38,44.33164468163683,83.47038318,6.372576327,209.80103784387694,rice
86,86,82,43,38,43.95908017513683,81.43321641,5.105588355,439.15776566073157,rice
87,87,84,50,44,56.12011496229839,81.40633547,5.935344406,190.83574578250585,rice
88,88,81,53,42,44.94791728290241,81.03569343,5.17782304,236.58387158705963,rice
89,89,91,50,40,44.38712450915685,84.1341879,6.462391607,279.13071623106094,rice
90,90,93,53,38,48.63023759900193,81.91411159,7.069172227,393.86314436856986,rice
91,91,90,44,38,44.52160561304663,83.88387074,7.473134377,383.15443443646996,rice
92,92,81,45,35,62.0826961869219,80.12267476,6.158376967,301.970455552784,rice
93,93,78,40,38,56.74269315610289,83.85642678,7.549873681,424.5151255159926,rice
94,94,60,51,36,43.70470916629256,82.81088865,6.028321558,402.8707286042056,rice
95,95,88,46,42,43.229678754414294,83.46358271,6.604993475,293.8995576753599,rice
96,96,93,47,37,45.63527601976759,82.14004101,6.500343222,425.9724030450568,rice
97,97,60,55,45,38.36306370903271,83.3293191,5.935745417,315.754690667447,rice
98,98,78,35,44,58.745806673390426,84.67353597,7.072655622,355.8311997010165,rice
99,99,65,37,40,50.836745899300794,83.59512273,5.333322606,308.9082297077046,rice
100,100,71,54,16,55.03507919032188,63.69070564,5.749914421,266.769953666001,maize
101,101,61,44,17,53.28156868429559,71.57476937,6.931756558,195.50549677615203,maize
102,102,80,43,16,44.83237687824122,71.59351368,6.657964753,166.78554234549347,maize
103,103,73,58,21,44.05023285849498,57.68272924,6.596060648,167.2812073286089,maize
104,104,61,38,20,46.32037580096886,62.69503871,5.970458434,125.09375713020182,maize
105,105,68,41,16,45.69878775643116,57.80840636,6.158830619,235.45368524405052,maize
106,106,93,41,17,59.94967810450355,66.50415474,6.047906679,137.64580212874898,maize
107,107,89,60,19,56.998294104624264,66.6902901,5.913664501,223.74898424389778,maize
108,108,76,44,17,47.903653077699055,62.5542482,5.855442401,139.4528329388467,maize
109,109,67,60,25,53.65376397708943,66.78627406,5.750254943,173.30220511572574,maize
110,110,70,44,19,51.144554027070775,73.4541537,5.852607099,204.88110974987825,maize
111,111,90,49,21,47.65733012645961,68.3584573,6.472523287,144.91508963411988,maize
112,112,62,52,16,49.51682682078298,58.84015925,6.967057762,213.45896865958656,maize
113,113,92,44,16,43.13964385200334,65.76816093,6.082973754,177.3275548378333,maize
114,114,66,54,21,54.73596680168259,60.2001687,5.919045532,155.70865179782479,maize
115,115,63,58,22,47.58336335844005,55.28220433,6.204747653,122.06469689203934,maize
116,116,70,47,17,49.263268662426455,70.4162444,6.600827017,207.09777445024648,maize
117,117,61,41,17,46.79319531765274,65.26185135,6.021902237,167.44288231481593,maize
118,118,66,53,19,56.62108440587566,60.1159381,6.033550195,240.38820817716095,maize
119,119,74,55,19,42.98868031803182,62.89366992,6.28886807,102.07754682534849,maize
120,120,77,57,21,40.35925066269977,73.80435276,6.550563823,220.4925334766695,maize
121,121,99,50,15,43.78792088269536,71.09445342,5.573286437,227.92514419146596,maize
122,122,74,56,22,45.866877923605074,66.65952796,6.829199275,272.31247516602235,maize
123,123,83,45,21,55.53041255435642,58.75082029,5.716222912,205.98096407429816,maize
124,124,100,48,16,53.92656118559694,67.22190688,5.54990242,247.69808459523884,maize
125,125,79,51,16,52.452465825719486,68.49835977,6.586244581,170.31580140355317,maize
126,126,94,39,18,53.67882524024547,57.48775781,5.893093135,126.39660778820834,maize
127,127,75,49,15,53.659062812621684,71.50905983,5.918263801,220.7597751626953,maize
128,128,78,48,22,46.923066979110544,63.10459626,5.588650585,143.89315756022796,maize
129,129,87,54,20,50.269712497254545,63.4711755,6.576418207,91.64996303308801,maize
130,130,87,35,25,51.44512187954675,63.1621551,6.178056304,143.9545811941199,maize
131,131,63,43,19,41.369183932016625,55.53128131,6.641906353,172.88772310081742,maize
132,132,84,57,25,48.33745545007439,67.99257471,6.489040367,147.02154676438101,maize
133,133,64,35,23,51.2784877891019,61.89472002,5.680361038,174.1246184441187,maize
134,134,60,46,22,40.310987173526236,65.61418761,6.625404348,259.78082020731017,maize
135,135,98,44,21,49.168976598173955,74.089114,6.524478032,265.65759477454344,maize
136,136,75,56,18,54.631101846648576,62.35750641,5.696205468,275.14396049873943,maize
137,137,86,55,21,41.93190130940041,59.64024162,6.803931519,213.45240941875505,maize
138,138,98,35,18,44.30602173479837,74.82913698,6.252797548,187.87220350743485,maize
139,139,76,57,18,42.606192551693454,74.52600826,6.092725883,130.76645934750934,maize
140,140,99,56,17,51.66296656733596,73.13112261,6.234330356,256.2559858902362,maize
141,141,60,44,23,61.30376952378673,70.04556743,5.722579819,119.41268859358132,maize
142,142,74,48,17,58.50138753270678,60.27766379,6.430616465,135.99134632739413,maize
143,143,89,60,17,58.12412976670865,57.21025565,5.983952675,195.51313185487584,maize
144,144,69,51,23,51.132375215904354,72.85462807,6.80163854,200.87789470275777,maize
145,145,96,46,22,43.393789863081864,69.00128641,6.499936446,230.51384045157874,maize
146,146,61,60,15,58.83716399213523,68.74248334,6.265564338,229.3557343430914,maize
147,147,74,58,18,39.384839742796345,56.35606753,6.727303282,147.1903486201287,maize
148,148,74,43,23,48.60330281169493,61.89082199,6.325235159,237.54640480326256,maize
149,149,63,43,17,47.80867770082847,65.47050802,6.807487794,113.62810591544944,maize
150,150,99,36,20,50.54600837606511,65.34583901,6.671085817,190.21508902591353,maize
151,151,77,36,23,46.05642909098097,56.73426469,6.648725327,212.65211498833116,maize
152,152,87,60,23,38.81509001280444,63.91281869,6.439071996,115.66484650264043,maize
153,153,60,38,17,44.81901317021826,64.23580251,6.474476516,152.93613610908352,maize
154,154,94,54,17,47.250328258099074,61.74427165,5.871647806,216.77914645423317,maize
155,155,95,38,22,40.43377614575189,61.24500053,5.730617109,308.5737751975238,maize
156,156,84,44,21,43.902611813113595,61.91044947,5.850439831,235.89154688015833,maize
157,157,77,58,19,50.565652461531485,56.50768935,5.791649933,190.68591931967666,maize
158,158,66,44,20,52.6947585130857,69.02298571,6.740000688,73.241183179959,maize
159,159,63,35,16,48.8418526077174,65.35549924,6.272417541,205.42778880940386,maize
160,160,79,45,20,44.47900756097417,59.24537979,5.715208817,63.57556503825019,maize
161,161,72,60,25,43.707857896228774,69.0276233,5.773454729,252.83567463153742,maize
162,162,67,51,24,39.643804867254744,61.32026065,5.584171461,146.14458162738475,maize
163,163,86,36,24,52.54069289355414,72.89187265,5.787268394,158.37222495681203,maize
164,164,76,48,18,41.148016554655385,69.63481219,5.77597783,207.7301167874466,maize
165,165,75,53,18,52.28018189037408,59.4375337,6.864793607,107.20362142277342,maize
166,166,81,45,23,45.914250205128866,68.034493,6.192360003,170.56404755412206,maize
167,167,73,45,21,63.20834011498358,73.58868502,6.636803223,166.1924500928082,maize
168,168,71,35,24,47.59471803397247,59.52193158,5.826426917,121.98753991614177,maize
169,169,96,54,22,48.901065240285305,61.33450447,6.960358276,196.68746921640607,maize
170,170,99,39,18,52.057623508785795,68.30578978,6.11275104,155.98357535631828,maize
171,171,62,48,20,47.22598506642447,60.47470519,6.708446922,219.95435721931796,maize
172,172,86,37,16,44.951454333943175,59.21235483,5.561510732,151.49089089327498,maize
173,173,94,50,19,53.991889237896146,73.62548442,5.873242491,208.82419525895574,maize
174,174,76,39,24,52.638357971752605,55.64709899,6.995843776,191.05262301415019,maize
175,175,77,52,17,44.35585691130551,65.7420046,5.714799723,277.46508880448084,maize
176,176,74,39,23,57.14133730563897,65.77472881,6.78073637,102.00330742819823,maize
177,177,81,49,20,55.966077439573496,60.61494304,5.513697923,278.80118127896833,maize
178,178,63,42,21,46.53779981257573,72.33125523,5.798423908,125.32756077138923,maize
179,179,99,38,21,50.66882181736551,71.59722446,6.352471866,151.2630767504678,maize
180,180,90,52,25,44.36499163787833,69.36385721,6.822586546,148.58367783145462,maize
181,181,68,40,19,62.204437701948116,66.20569924,6.655426355,227.21282818662638,maize
182,182,60,57,24,44.46504671402449,61.55327249,6.121294041,190.64649948715595,maize
183,183,71,52,18,45.791583279621776,55.97732754,5.790770203,70.61158092214198,maize
184,184,61,59,17,51.112293984295235,59.24580604,6.47444292,122.81570012411215,maize
185,185,88,38,15,43.806464129976774,65.92195844,6.455116637,235.8437092501343,maize
186,186,65,60,22,62.432003682351365,72.52054555,6.606984086,159.49565959437777,maize
187,187,78,37,22,47.96189605502504,63.31801994,6.330554389,272.23859657004436,maize
188,188,78,58,15,43.2053960765013,67.816568,6.528631266,153.89831257704878,maize
189,189,92,60,23,41.38898412983331,71.516474,5.721667141,179.57362553330572,maize
190,190,79,59,17,48.148420225921754,63.73849998,6.644205485,178.37422486528317,maize
191,191,91,55,15,34.1416917705945,72.61024172,6.376651091,232.41303744550657,maize
192,192,76,51,18,48.72481266135902,71.96246617,6.247040422,144.8770059586069,maize
193,193,87,48,25,40.990406487136816,61.37879671,6.656730008,114.75932913443373,maize
194,194,71,60,22,46.33310866200224,59.37147589,6.2048017,167.264644640129,maize
195,195,90,57,24,38.0033610063639,72.80086137,6.158860284,208.23013111411495,maize
196,196,67,35,22,37.74579162198533,63.24648023,6.385684214,183.6562703723067,maize
197,197,60,54,19,36.27911604516038,62.49878458,6.417820493,153.09478393596834,maize
198,198,83,58,23,48.42577867017924,59.66263104,6.381201909,58.5883103914922,maize
199,199,83,57,19,44.51115368733023,70.74739256,6.877869005,113.87384390872467,maize
200,200,40,72,77,45.582470210543846,16.98861173,7.485996067,218.72967396126586,chickpea
201,201,23,72,84,34.51731832945821,17.13159126,6.920251378,217.2979148397897,chickpea
202,202,39,58,85,55.187439522179446,15.40589717,5.996932037,206.85648184790602,chickpea
203,203,22,72,85,44.19454797235234,15.65809214,6.391173589,101.93450833233068,chickpea
204,204,36,67,77,35.6261412528521,19.56381041,7.152811172,168.09349498905237,chickpea
205,205,32,73,81,55.81349303132108,15.40312102,5.988992796,218.05107791882978,chickpea
206,206,58,70,84,52.8555989516219,16.60820843,6.231049028,59.57763104470422,chickpea
207,207,59,70,84,38.43528958153968,18.74926979,7.550808267,189.02733373166058,chickpea
208,208,42,62,75,34.37065397683237,18.90426935,7.010570541,346.6194330862688,chickpea
209,209,28,74,81,44.09110678157875,18.30968112,8.753795334,207.69382151738284,chickpea
210,210,58,66,79,48.366497908750745,19.33470387,8.718192847,212.48959710919652,chickpea
211,211,43,66,79,43.82023213748404,15.22538951,7.976607593,234.99358315122612,chickpea
212,212,58,63,81,40.665803597745025,14.69765308,6.515499549,144.74199139078985,chickpea
213,213,23,62,85,44.67965080467056,19.5161216,8.490127142,133.77859672468134,chickpea
214,214,27,62,77,44.97556581723865,14.71070537,6.576415562,255.93153101530555,chickpea
215,215,28,72,84,47.76497991559516,19.18197264,6.481783043,172.91313127597292,chickpea
216,216,50,56,76,44.429170858396674,19.8601304,7.966605025,112.92915229982063,chickpea
217,217,39,71,84,51.82766569590962,16.39535215,8.140825437,234.7358486147052,chickpea
218,218,25,78,76,50.422394378854406,15.7559405,7.228963452,148.1079803593137,chickpea
219,219,31,70,77,44.14455300423083,14.32313811,6.492546046,137.57494889724234,chickpea
220,220,26,80,83,39.01515366668042,16.14565756,7.528599957,149.18622537247563,chickpea
221,221,25,68,77,50.90199661698299,15.11279612,7.701446446,160.22414799868432,chickpea
222,222,31,78,76,43.63466097959255,14.99927489,8.519975748,190.81124989855587,chickpea
223,223,60,68,83,41.27076149005539,18.43475844,6.620900869,149.73900450209237,chickpea
224,224,59,62,83,31.222891336974634,19.22008229,8.104396058,197.34492683527048,chickpea
225,225,22,67,78,35.863055140985416,14.42457525,6.204090835,123.13458239530036,chickpea
226,226,36,65,80,40.52935255801118,16.67921616,6.051091339,220.0591721741968,chickpea
227,227,59,60,84,34.70990251390631,18.66725565,7.690962338,192.5368078403269,chickpea
228,228,54,77,85,44.863887013328,17.0662427,7.829211144,148.90919235830597,chickpea
229,229,43,68,81,51.40616671941757,17.93253975,6.761599706,233.5911831919559,chickpea
230,230,28,76,82,47.09395943264608,14.25803981,6.654425315,158.36629726229484,chickpea
231,231,42,79,85,41.978853756424854,15.82069268,6.129533877,179.62426325154388,chickpea
232,232,32,60,83,49.30302106842677,19.44225438,8.829273328,165.27759851019908,chickpea
233,233,22,78,76,40.720039928352925,19.09172907,8.621662982,247.3699531362297,chickpea
234,234,31,79,75,44.83185051283971,16.1074793,8.204862075,256.3584783520931,chickpea
235,235,28,58,81,39.99297203948987,16.54314829,6.18042747,123.6341597268794,chickpea
236,236,57,58,77,43.987648821791666,17.58406365,7.978996755,193.45144796611794,chickpea
237,237,49,55,78,49.80226317240651,16.17772668,7.863113671,191.36299072300682,chickpea
238,238,46,76,77,41.792870364688135,19.68538502,6.967843048,173.3211272095853,chickpea
239,239,54,61,77,53.03237834061538,15.21618225,6.206582193,132.55847822546045,chickpea
240,240,38,60,76,40.25433235014998,17.80852431,8.868741443,92.1792612397227,chickpea
241,241,59,55,79,46.84455151754908,16.89574311,8.766128654,161.90246384533816,chickpea
242,242,36,76,75,47.22158317750562,16.63805158,8.736337905,146.99557332836383,chickpea
243,243,57,68,81,28.920770083059864,17.30457712,8.081095263,238.76803341793877,chickpea
244,244,35,66,81,47.0612548863555,15.77458129,6.138243973,189.7817185563205,chickpea
245,245,35,64,78,34.387652701476796,14.27327988,7.496645259,225.07430543902652,chickpea
246,246,52,60,79,36.271289737067264,18.23490739,8.380185271,107.8684264699736,chickpea
247,247,27,76,83,47.753061282532514,14.92241479,6.289614016,71.8726665525317,chickpea
248,248,57,60,84,40.02630517906698,17.26184541,6.586777189,263.01265703979175,chickpea
249,249,52,68,78,37.48209957681695,16.96070581,6.89655198,181.5809756727111,chickpea
250,250,43,79,79,42.851012955942494,18.98030507,7.806747656,104.50951791075055,chickpea
251,251,44,74,85,52.51257245309098,19.63719995,7.150681303,162.8766062157723,chickpea
252,252,24,55,78,43.48848293119289,15.15405941,6.64919573,96.88822711582121,chickpea
253,253,29,77,75,47.02409981784055,15.48083156,7.778591618,188.08574096918426,chickpea
254,254,20,60,78,47.70956075579237,14.70085967,6.358740355,272.6581803893805,chickpea
255,255,56,67,78,49.96795970459864,16.71826572,8.255450758,54.77013474620128,chickpea
256,256,37,66,85,45.35331115734675,18.91295403,6.456148474,176.53583484428424,chickpea
257,257,49,71,76,45.359489900714095,17.63879418,6.613072145,201.9490114971352,chickpea
258,258,59,69,80,32.92937330858231,17.86754927,8.165359297,72.04749010785875,chickpea
259,259,20,79,77,34.03265363618383,16.02542689,7.64867466,200.112709848042,chickpea
260,260,24,56,85,48.596895993400935,17.41333199,6.545888558,207.96848442642886,chickpea
261,261,51,72,75,42.092415391840674,14.99451145,7.104224797,123.77654292878393,chickpea
262,262,57,73,85,40.105578710936086,14.72115044,7.358099622,134.24885539642935,chickpea
263,263,22,64,82,39.49362278318628,17.17260319,6.4740245,192.6556294523614,chickpea
264,264,52,73,79,45.596909500811805,18.74943955,7.840339389,188.05487446335783,chickpea
265,265,29,75,75,43.59154492048445,18.71483156,7.064790365,181.74462108836053,chickpea
266,266,44,59,78,47.864626195740954,19.85388984,7.599033472,110.65847141652644,chickpea
267,267,41,69,82,48.11877026990035,16.63294455,6.715587232,121.42223248917628,chickpea
268,268,52,56,85,53.68796855111667,14.44228303,6.81712422,272.66389806171344,chickpea
269,269,34,76,80,49.41399734504276,15.84572566,7.985417393,92.60887692017263,chickpea
270,270,42,74,83,34.93314332899307,14.2804191,7.545258424,101.14339503767347,chickpea
271,271,34,71,79,39.73564425458858,15.85622899,7.728998197,224.09862909384316,chickpea
272,272,27,73,79,38.49468842705105,15.83500655,7.354973451,313.3783311603147,chickpea
273,273,30,70,79,45.391479186419744,19.96978871,7.313122235,223.89899646179265,chickpea
274,274,57,57,75,49.13650700479497,18.25142068,7.785039076,134.72553205860282,chickpea
275,275,27,79,82,39.57271185049516,17.54024066,6.307004923,224.95182138888575,chickpea
276,276,32,71,85,50.81601410699061,14.44008871,6.403982316,102.39253594882209,chickpea
277,277,31,76,82,55.36899790862891,17.85057083,7.599279991,220.87714141687542,chickpea
278,278,33,75,84,43.700185233349615,18.72831993,7.217018459,140.37010053824878,chickpea
279,279,47,80,77,45.39486474172088,16.42891834,7.561108006,239.12936531208788,chickpea
280,280,54,62,80,45.037118323950594,16.39055394,7.489545074,215.01263089769273,chickpea
281,281,47,79,78,51.80599926687947,14.76014523,6.609696734,183.28869478062313,chickpea
282,282,35,57,83,50.239959497116885,17.44534641,7.476800943,193.57982114871268,chickpea
283,283,53,73,77,53.38630877205168,18.09665739,7.325451279,168.38730463301076,chickpea
284,284,45,61,78,47.776492571512755,16.06240074,6.489389282,247.17955293483075,chickpea
285,285,37,78,79,45.863331605139166,14.82633099,7.786366322,188.86771979409318,chickpea
286,286,30,75,81,40.711556860563036,16.80472243,6.408437886,165.20579095604575,chickpea
287,287,37,55,82,46.17013898250902,18.02235902,8.423873703,174.4914854450905,chickpea
288,288,53,65,76,47.38213587220422,16.41998269,8.719960893,257.27127840734653,chickpea
289,289,22,60,85,35.55363294895729,14.74071856,7.811997977,147.01394128992305,chickpea
290,290,60,61,78,41.12963385151213,19.83643308,6.317153205,164.74746929169817,chickpea
291,291,42,67,77,44.96958326419802,15.9362937,7.114405288,112.45507423771608,chickpea
292,292,39,76,76,48.37970319275118,15.57324389,8.135900726,125.63657520936657,chickpea
293,293,35,63,76,46.04474306035782,17.60756635,7.714153038,134.79379193471252,chickpea
294,294,30,65,82,40.444938191819055,15.27824066,7.103798069,132.32292199064045,chickpea
295,295,57,56,78,51.91021256925783,18.75626255,8.861479668,174.74328160849905,chickpea
296,296,48,65,78,40.03953960791493,14.33847406,7.861128148,232.82942975630456,chickpea
297,297,36,56,83,40.972582270280334,19.76182946,7.4526709,42.878532324909145,chickpea
298,298,40,58,75,44.64508397341628,14.77959596,7.168096055,103.32036910324787,chickpea
299,299,49,69,82,42.63189138927622,15.36143547,7.26311855,137.10529602225805,chickpea
